ids,labels,parents
MEAC-NCAA-South Carolina St.,South Carolina St.,MEAC-NCAA
MVC-NCAA-Drake,Drake,MVC-NCAA
MVC-NCAA-Evansville,Evansville,MVC-NCAA
MVC-NCAA-Illinois St.,Illinois St.,MVC-NCAA
MVC-NCAA-Indiana St.,Indiana St.,MVC-NCAA
MVC-NCAA-Loyola Chicago,Loyola Chicago,MVC-NCAA
MVC-NCAA-Missouri St.,Missouri St.,MVC-NCAA
MVC-NCAA-Northern Iowa,Northern Iowa,MVC-NCAA
MVC-NCAA-Southern Illinois,Southern Illinois,MVC-NCAA
MVC-NCAA-Valparaiso,Valparaiso,MVC-NCAA
MWC-NCAA-Air Force,Air Force,MWC-NCAA
MWC-NCAA-Boise St.,Boise St.,MWC-NCAA
MWC-NCAA-Colorado St.,Colorado St.,MWC-NCAA
MWC-NCAA-Fresno St.,Fresno St.,MWC-NCAA
MWC-NCAA-New Mexico,New Mexico,MWC-NCAA
MWC-NCAA-San Diego St.,San Diego St.,MWC-NCAA
MWC-NCAA-San Jose St.,San Jose St.,MWC-NCAA
MWC-NCAA-UNLV,UNLV,MWC-NCAA
MWC-NCAA-Wyoming,Wyoming,MWC-NCAA
NEC-NCAA-Bryant,Bryant,NEC-NCAA
NEC-NCAA-Central Connecticut,Central Connecticut,NEC-NCAA
NEC-NCAA-LIU Brooklyn,LIU Brooklyn,NEC-NCAA
NEC-NCAA-Mount St. Mary's,Mount St. Mary's,NEC-NCAA
NEC-NCAA-Robert Morris,Robert Morris,NEC-NCAA
NEC-NCAA-Sacred Heart,Sacred Heart,NEC-NCAA
NEC-NCAA-St. Francis NY,St. Francis NY,NEC-NCAA
NEC-NCAA-St. Francis PA,St. Francis PA,NEC-NCAA
NEC-NCAA-Wagner,Wagner,NEC-NCAA
OVC-NCAA-Austin Peay,Austin Peay,OVC-NCAA
OVC-NCAA-Eastern Illinois,Eastern Illinois,OVC-NCAA
OVC-NCAA-Eastern Kentucky,Eastern Kentucky,OVC-NCAA
OVC-NCAA-Jacksonville St.,Jacksonville St.,OVC-NCAA
OVC-NCAA-Morehead St.,Morehead St.,OVC-NCAA
OVC-NCAA-SIU Edwardsville,SIU Edwardsville,OVC-NCAA
OVC-NCAA-Southeast Missouri St.,Southeast Missouri St.,OVC-NCAA
OVC-NCAA-Tennessee Martin,Tennessee Martin,OVC-NCAA
OVC-NCAA-Tennessee St.,Tennessee St.,OVC-NCAA
OVC-NCAA-Tennessee Tech,Tennessee Tech,OVC-NCAA
P12-NCAA-Arizona,Arizona,P12-NCAA
P12-NCAA-California,California,P12-NCAA
P12-NCAA-Colorado,Colorado,P12-NCAA
P12-NCAA-Oregon St.,Oregon St.,P12-NCAA
P12-NCAA-Stanford,Stanford,P12-NCAA
P12-NCAA-UCLA,UCLA,P12-NCAA
P12-NCAA-USC,USC,P12-NCAA
P12-NCAA-Utah,Utah,P12-NCAA
P12-NCAA-Washington St.,Washington St.,P12-NCAA
Pat-NCAA-American,American,Pat-NCAA
Pat-NCAA-Army,Army,Pat-NCAA
Pat-NCAA-Boston University,Boston University,Pat-NCAA
Pat-NCAA-Bucknell,Bucknell,Pat-NCAA
Pat-NCAA-Holy Cross,Holy Cross,Pat-NCAA
Pat-NCAA-Lafayette,Lafayette,Pat-NCAA
Pat-NCAA-Lehigh,Lehigh,Pat-NCAA
Pat-NCAA-Loyola MD,Loyola MD,Pat-NCAA
Pat-NCAA-Navy,Navy,Pat-NCAA
SB-NCAA-Appalachian St.,Appalachian St.,SB-NCAA
SB-NCAA-Arkansas St.,Arkansas St.,SB-NCAA
SB-NCAA-Coastal Carolina,Coastal Carolina,SB-NCAA
SB-NCAA-Georgia Southern,Georgia Southern,SB-NCAA
SB-NCAA-Little Rock,Little Rock,SB-NCAA
SB-NCAA-Louisiana Lafayette,Louisiana Lafayette,SB-NCAA
SB-NCAA-Louisiana Monroe,Louisiana Monroe,SB-NCAA
SB-NCAA-South Alabama,South Alabama,SB-NCAA
SB-NCAA-Texas St.,Texas St.,SB-NCAA
SB-NCAA-Troy,Troy,SB-NCAA
SB-NCAA-UT Arlington,UT Arlington,SB-NCAA
SC-NCAA-Chattanooga,Chattanooga,SC-NCAA
SC-NCAA-East Tennessee St.,East Tennessee St.,SC-NCAA
SC-NCAA-Furman,Furman,SC-NCAA
SC-NCAA-Mercer,Mercer,SC-NCAA
SC-NCAA-Samford,Samford,SC-NCAA
SC-NCAA-The Citadel,The Citadel,SC-NCAA
SC-NCAA-UNC Greensboro,UNC Greensboro,SC-NCAA
SC-NCAA-VMI,VMI,SC-NCAA
SC-NCAA-Western Carolina,Western Carolina,SC-NCAA
SEC-NCAA-Alabama,Alabama,SEC-NCAA
SEC-NCAA-Arkansas,Arkansas,SEC-NCAA
SEC-NCAA-Georgia,Georgia,SEC-NCAA
SEC-NCAA-Missouri,Missouri,SEC-NCAA
SEC-NCAA-South Carolina,South Carolina,SEC-NCAA
SEC-NCAA-Texas A&M,Texas A&M,SEC-NCAA
SEC-NCAA-Vanderbilt,Vanderbilt,SEC-NCAA
Slnd-NCAA-Central Arkansas,Central Arkansas,Slnd-NCAA
Slnd-NCAA-Houston Baptist,Houston Baptist,Slnd-NCAA
Slnd-NCAA-Incarnate Word,Incarnate Word,Slnd-NCAA
Slnd-NCAA-Lamar,Lamar,Slnd-NCAA
Slnd-NCAA-McNeese St.,McNeese St.,Slnd-NCAA
Slnd-NCAA-New Orleans,New Orleans,Slnd-NCAA
Slnd-NCAA-Nicholls St.,Nicholls St.,Slnd-NCAA
Slnd-NCAA-Northwestern St.,Northwestern St.,Slnd-NCAA
Slnd-NCAA-Sam Houston St.,Sam Houston St.,Slnd-NCAA
Slnd-NCAA-Southeastern Louisiana,Southeastern Louisiana,Slnd-NCAA
Slnd-NCAA-Stephen F. Austin,Stephen F. Austin,Slnd-NCAA
Slnd-NCAA-Texas A&M Corpus Chris,Texas A&M Corpus Chris,Slnd-NCAA
Sum-NCAA-Denver,Denver,Sum-NCAA
Sum-NCAA-Fort Wayne,Fort Wayne,Sum-NCAA
Sum-NCAA-Nebraska Omaha,Nebraska Omaha,Sum-NCAA
Sum-NCAA-Oral Roberts,Oral Roberts,Sum-NCAA
Sum-NCAA-South Dakota,South Dakota,Sum-NCAA
Sum-NCAA-South Dakota St.,South Dakota St.,Sum-NCAA
Sum-NCAA-Western Illinois,Western Illinois,Sum-NCAA
SWAC-NCAA-Alabama A&M,Alabama A&M,SWAC-NCAA
SWAC-NCAA-Alabama St.,Alabama St.,SWAC-NCAA
SWAC-NCAA-Alcorn St.,Alcorn St.,SWAC-NCAA
SWAC-NCAA-Arkansas Pine Bluff,Arkansas Pine Bluff,SWAC-NCAA
SWAC-NCAA-Grambling St.,Grambling St.,SWAC-NCAA
SWAC-NCAA-Jackson St.,Jackson St.,SWAC-NCAA
SWAC-NCAA-Mississippi Valley St.,Mississippi Valley St.,SWAC-NCAA
SWAC-NCAA-Southern,Southern,SWAC-NCAA
SWAC-NCAA-Texas Southern,Texas Southern,SWAC-NCAA
WAC-NCAA-Cal Baptist,Cal Baptist,WAC-NCAA
WAC-NCAA-Cal St. Bakersfield,Cal St. Bakersfield,WAC-NCAA
WAC-NCAA-Chicago St.,Chicago St.,WAC-NCAA
WAC-NCAA-Grand Canyon,Grand Canyon,WAC-NCAA
WAC-NCAA-Seattle,Seattle,WAC-NCAA
WAC-NCAA-UMKC,UMKC,WAC-NCAA
WAC-NCAA-UT Rio Grande Valley,UT Rio Grande Valley,WAC-NCAA
WAC-NCAA-Utah Valley,Utah Valley,WAC-NCAA
WCC-NCAA-BYU,BYU,WCC-NCAA
WCC-NCAA-Loyola Marymount,Loyola Marymount,WCC-NCAA
WCC-NCAA-Pacific,Pacific,WCC-NCAA
WCC-NCAA-Pepperdine,Pepperdine,WCC-NCAA
WCC-NCAA-Portland,Portland,WCC-NCAA
WCC-NCAA-San Diego,San Diego,WCC-NCAA
WCC-NCAA-San Francisco,San Francisco,WCC-NCAA
WCC-NCAA-Santa Clara,Santa Clara,WCC-NCAA
Amer-NCAA-UCF,UCF,Amer-NCAA
B10-NCAA-Iowa,Iowa,B10-NCAA
B10-NCAA-Maryland,Maryland,B10-NCAA
B10-NCAA-Minnesota,Minnesota,B10-NCAA
B10-NCAA-Ohio St.,Ohio St.,B10-NCAA
B12-NCAA-Baylor,Baylor,B12-NCAA
B12-NCAA-Kansas,Kansas,B12-NCAA
B12-NCAA-Oklahoma,Oklahoma,B12-NCAA
BE-NCAA-Villanova,Villanova,BE-NCAA
BSth-NCAA-Liberty,Liberty,BSth-NCAA
BW-NCAA-UC Irvine,UC Irvine,BW-NCAA
MAC-NCAA-Buffalo,Buffalo,MAC-NCAA
OVC-NCAA-Murray St.,Murray St.,OVC-NCAA
P12-NCAA-Washington,Washington,P12-NCAA
SC-NCAA-Wofford,Wofford,SC-NCAA
SEC-NCAA-Florida,Florida,SEC-NCAA
A10-NCAA-Saint Louis,Saint Louis,A10-NCAA
A10-NCAA-VCU,VCU,A10-NCAA
ACC-NCAA-Louisville,Louisville,ACC-NCAA
ACC-NCAA-Syracuse,Syracuse,ACC-NCAA
AE-NCAA-Vermont,Vermont,AE-NCAA
Amer-NCAA-Cincinnati,Cincinnati,Amer-NCAA
B10-NCAA-Wisconsin,Wisconsin,B10-NCAA
B12-NCAA-Iowa St.,Iowa St.,B12-NCAA
B12-NCAA-Kansas St.,Kansas St.,B12-NCAA
BE-NCAA-Marquette,Marquette,BE-NCAA
BE-NCAA-Seton Hall,Seton Hall,BE-NCAA
BSky-NCAA-Montana,Montana,BSky-NCAA
BSth-NCAA-Gardner Webb,Gardner Webb,BSth-NCAA
CAA-NCAA-Northeastern,Northeastern,CAA-NCAA
CUSA-NCAA-Old Dominion,Old Dominion,CUSA-NCAA
Horz-NCAA-Northern Kentucky,Northern Kentucky,Horz-NCAA
Ivy-NCAA-Yale,Yale,Ivy-NCAA
MAAC-NCAA-Iona,Iona,MAAC-NCAA
MVC-NCAA-Bradley,Bradley,MVC-NCAA
MWC-NCAA-Nevada,Nevada,MWC-NCAA
MWC-NCAA-Utah St.,Utah St.,MWC-NCAA
NEC-NCAA-Fairleigh Dickinson,Fairleigh Dickinson,NEC-NCAA
OVC-NCAA-Belmont,Belmont,OVC-NCAA
P12-NCAA-Arizona St.,Arizona St.,P12-NCAA
Pat-NCAA-Colgate,Colgate,Pat-NCAA
SB-NCAA-Georgia St.,Georgia St.,SB-NCAA
SEC-NCAA-Mississippi,Mississippi,SEC-NCAA
SEC-NCAA-Mississippi St.,Mississippi St.,SEC-NCAA
Slnd-NCAA-Abilene Christian,Abilene Christian,Slnd-NCAA
Sum-NCAA-North Dakota St.,North Dakota St.,Sum-NCAA
WAC-NCAA-New Mexico St.,New Mexico St.,WAC-NCAA
WCC-NCAA-Saint Mary's,Saint Mary's,WCC-NCAA
Amer-NCAA-Temple,Temple,Amer-NCAA
BE-NCAA-St. John's,St. John's,BE-NCAA
MEAC-NCAA-North Carolina Central,North Carolina Central,MEAC-NCAA
SWAC-NCAA-Prairie View A&M,Prairie View A&M,SWAC-NCAA
ACC-NCAA-Florida St.,Florida St.,ACC-NCAA
ACC-NCAA-North Carolina,North Carolina,ACC-NCAA
ACC-NCAA-Virginia Tech,Virginia Tech,ACC-NCAA
Amer-NCAA-Houston,Houston,Amer-NCAA
B10-NCAA-Michigan,Michigan,B10-NCAA
P12-NCAA-Oregon,Oregon,P12-NCAA
SEC-NCAA-LSU,LSU,SEC-NCAA
SEC-NCAA-Tennessee,Tennessee,SEC-NCAA
SEC-NCAA-S16,Tennessee-S16,SEC-NCAA-Tennessee
Amer-NCAA-S16,Houston-S16,Amer-NCAA-Houston
ACC-NCAA-S16,Florida St.-S16,ACC-NCAA-Florida St.
ACC-NCAA-S16,North Carolina-S16,ACC-NCAA-North Carolina
